dqn,exp-dqn,ddqn,exp-ddqn
2.064643621444702,0.5162829756736755,0.6991249918937683,0.588758111000061
0.9788511991500854,0.5823889374732971,1.7098532915115356,0.5998849272727966
0.7571640610694885,0.5265461206436157,1.3439394235610962,0.4986704885959625
0.574820876121521,0.6737019419670105,0.9269824028015137,0.5905778408050537
0.6265793442726135,0.5458477735519409,0.8171622157096863,0.49724581837654114
0.5894992351531982,0.6009700298309326,1.0157979726791382,0.4890383183956146
0.5417308807373047,0.5874356031417847,0.7469668388366699,0.4651612937450409
0.4783133864402771,0.5989944934844971,0.617688000202179,0.35943394899368286
0.4309907853603363,0.6371359825134277,0.5832988619804382,0.4357021152973175
0.43153485655784607,0.6064478754997253,0.6557336449623108,0.5046261548995972
0.38857269287109375,0.5037311315536499,0.607697606086731,0.3996618688106537
0.3373715281486511,0.5666888952255249,0.5339173674583435,0.3650047183036804
0.36365193128585815,0.7061633467674255,0.47441038489341736,0.431767076253891
0.35499027371406555,0.7087399959564209,0.4395516812801361,0.5687857866287231
0.4277486503124237,0.48434847593307495,0.451278418302536,0.3272091746330261
0.23471347987651825,0.5016512274742126,0.3887436091899872,0.4714297652244568
0.3370932936668396,0.7888216376304626,0.2734135091304779,0.2571118175983429
0.2773967981338501,0.5356776714324951,0.311142235994339,0.5490514039993286
0.25060608983039856,0.5954972505569458,0.5935214757919312,0.2745334208011627
0.25192147493362427,0.42457133531570435,0.3285025954246521,0.35349321365356445
0.26761123538017273,0.5191338062286377,0.38113293051719666,0.5511572360992432
0.23075544834136963,0.42037487030029297,0.3773471415042877,0.45374301075935364
0.22153979539871216,0.39547330141067505,0.2788464426994324,0.5587472319602966
0.24761031568050385,0.42352205514907837,0.35464218258857727,0.42325204610824585
0.3517354428768158,0.4013451039791107,0.34408265352249146,0.5290915369987488
0.2778162360191345,0.5173034071922302,0.2063020020723343,0.4151478409767151
0.31083613634109497,0.492511510848999,0.22390052676200867,0.3438621759414673
0.38269662857055664,0.6577929258346558,0.2842789590358734,0.36883544921875
0.2548797130584717,0.7644537091255188,0.25518476963043213,0.36125674843788147
0.25212106108665466,0.3380397856235504,0.24480898678302765,0.2794436812400818
0.3349234461784363,0.37675032019615173,0.22633770108222961,0.2961379289627075
0.1882605403661728,0.6205536127090454,0.181985005736351,0.48253482580184937
0.20694270730018616,0.8745511174201965,0.2733258903026581,0.48568546772003174
0.17881536483764648,0.46392130851745605,0.23611041903495789,0.6475450396537781
0.23983345925807953,0.4501400291919708,0.30940866470336914,0.6379194259643555
0.4932491183280945,0.27568319439888,0.35258981585502625,0.6024548411369324
0.3415643572807312,0.36744269728660583,0.2096720188856125,0.47082868218421936
0.26575005054473877,0.2563769817352295,0.7483988404273987,0.35309815406799316
0.14573566615581512,0.33072778582572937,0.25541937351226807,0.4498356580734253
0.18155398964881897,0.4773043990135193,0.24483048915863037,0.6120794415473938
0.2970271408557892,0.40157032012939453,0.2530847191810608,0.47547999024391174
0.20401553809642792,0.31510815024375916,0.36811363697052,0.38617563247680664
0.43662330508232117,0.34264805912971497,0.2537670433521271,0.479698121547699
0.42538073658943176,0.40745317935943604,0.17485980689525604,0.3240375518798828
0.32663673162460327,0.4281874895095825,0.21685558557510376,0.3675292432308197
0.40322163701057434,0.4219440817832947,0.3296409547328949,0.3935977816581726
0.2875470519065857,0.37912309169769287,0.2938655614852905,0.3905678689479828
0.5003671646118164,0.39611393213272095,0.37746211886405945,0.3763381242752075
0.3200637102127075,0.7110446691513062,0.25540733337402344,0.3556888699531555
0.41577816009521484,0.37802064418792725,0.47905081510543823,0.4694261848926544
0.4792907238006592,0.3300158977508545,0.3265973627567291,0.4147428870201111
0.34768664836883545,0.40088170766830444,0.40116146206855774,0.52195143699646
0.3139513432979584,0.3508366346359253,0.26173052191734314,0.34377676248550415
0.32781311869621277,0.24697908759117126,0.2886521816253662,0.5346507430076599
0.31034910678863525,0.3175194561481476,0.45463162660598755,0.4543212950229645
0.4211638271808624,0.5249387621879578,0.3489355444908142,0.46860018372535706
0.33302003145217896,0.4081459045410156,0.3379621207714081,0.5225398540496826
0.41940778493881226,0.6756819486618042,0.13453753292560577,0.45034757256507874
